warming,damages
0.69,6.80E+12
0.69,1.62E+13
0.69,2.37E+13
0.69,1.65E+13
0.69,-3.03E+12
0.69,1.37E+13
0.69,1.09E+13
0.69,-2.35E+12
0.69,7.35E+12
0.69,8.96E+12
0.69,1.33E+13
0.735718548,7.82E+12
0.735718548,9.07E+12
0.735718548,5.49E+12
0.735718548,1.41E+13
0.735718548,1.61E+13
0.735718548,5.81E+12
0.735718548,1.98E+13
0.837,1.28E+13
0.837,5.98E+12
0.837,2.61E+13
0.837,1.19E+13
0.9079999,1.33E+12
0.9079999,1.90E+13
0.9079999,1.43E+13
0.9079999,2.78E+13
0.9079999,2.39E+13
0.9079999,1.91E+13
0.9079999,1.59E+13
0.9079999,3.08E+13
0.9079999,8.63E+12
0.9079999,8.84E+12
0.9079999,2.04E+13
0.9079999,2.63E+13
0.9079999,1.32E+13
0.982891202,1.99E+13
0.982891202,2.53E+13
0.982891202,2.85E+13
0.982891202,2.24E+13
0.982891202,2.15E+13
0.982891202,1.87E+13
0.982891202,2.70E+13
0.982891202,3.42E+13
0.982891202,6.22E+12
0.982891202,-1.28E+12
0.982891202,4.36E+12
1.085239768,1.18E+13
1.085239768,4.10E+13
1.085239768,3.55E+13
1.085239768,3.87E+13
1.085239768,8.80E+12
1.085239768,1.96E+13
1.085239768,1.24E+13
1.085239768,2.68E+13
1.299800158,4.98E+13
1.299800158,2.47E+13
1.299800158,8.24E+11
1.299800158,2.37E+13
1.299800158,2.80E+13
1.362897277,5.10E+13
1.362897277,6.29E+13
1.362897277,3.98E+13
1.362897277,4.93E+13
1.362897277,4.94E+13
1.362897277,3.52E+13
1.362897277,2.83E+13
1.418968439,4.60E+13
1.418968439,5.54E+13
1.418968439,3.06E+13
1.418968439,3.73E+13
1.418968439,3.91E+13
1.418968439,6.52E+13
1.418968439,7.27E+13
1.472866297,3.46E+13
1.472866297,5.37E+13
1.472866297,6.10E+13
1.472866297,3.70E+13
1.472866297,3.09E+13
1.472866297,3.78E+13
1.472866297,4.30E+13
1.472866297,3.68E+13
1.472866297,6.69E+13
1.472866297,5.18E+13
1.498312354,6.35E+13
1.498312354,2.73E+13
1.498312354,6.06E+13
1.498312354,4.66E+13
1.498312354,1.97E+13
1.498312354,3.65E+13
1.499695301,1.96E+13
1.499695301,3.44E+13
1.499695301,3.29E+13
1.499695301,2.54E+13
1.499695301,3.78E+13
1.499695301,5.65E+13
1.499695301,2.78E+13
1.499695301,6.16E+13
1.511463046,2.70E+13
1.511463046,5.43E+13
1.511463046,4.99E+13
1.511463046,7.22E+13
1.511463046,4.37E+13
1.511463046,4.87E+13
1.511463046,6.11E+13
1.511463046,4.19E+13
1.511463046,5.52E+13
1.511463046,5.26E+13
1.599378109,5.62E+13
1.599378109,4.43E+13
1.599378109,5.10E+13
1.599378109,4.05E+13
1.599378109,5.63E+13
