,year,warming_baseline,warming_pulse
1,2022,0.302284516,0.303257486
2,2023,0.33639039,0.337610124
3,2024,0.372418637,0.373796614
4,2025,0.408188069,0.409665678
5,2026,0.439648525,0.441186784
6,2027,0.467470627,0.469043529
7,2028,0.492583854,0.494174043
8,2029,0.517694216,0.519290147
9,2030,0.541975061,0.543569112
10,2031,0.566717206,0.568304411
11,2032,0.59224179,0.593818962
12,2033,0.61996651,0.621531675
13,2034,0.652148244,0.653700258
14,2035,0.690043743,0.691582022
15,2036,0.727904537,0.729428877
16,2037,0.767585514,0.769095958
17,2038,0.804009451,0.805506207
18,2039,0.840433794,0.841917166
19,2040,0.873665585,0.875135943
20,2041,0.904700235,0.906157978
21,2042,0.934378389,0.935823921
22,2043,0.965077,0.96651072
23,2044,0.997763471,0.999185769
24,2045,1.033368888,1.034780142
25,2046,1.074478454,1.075879025
26,2047,1.118377621,1.119767854
27,2048,1.164883614,1.166263833
28,2049,1.210248246,1.211618756
29,2050,1.251383184,1.252744275
30,2051,1.287866507,1.289218454
31,2052,1.322870331,1.324213396
32,2053,1.356961692,1.358296129
33,2054,1.390974333,1.392300385
34,2055,1.427057942,1.428375838
35,2056,1.466978164,1.468288122
36,2057,1.510573089,1.511875313
37,2058,1.553656343,1.554951023
38,2059,1.596910555,1.598197871
39,2060,1.640145764,1.641425884
40,2061,1.680183957,1.681457042
41,2062,1.718089776,1.719355997
42,2063,1.754765374,1.756024905
43,2064,1.791781622,1.793034639
44,2065,1.829480137,1.83072681
45,2066,1.868795876,1.870036368
46,2067,1.912281272,1.913515738
47,2068,1.958557031,1.959785618
48,2069,2.005499236,2.006722078
49,2070,2.050240965,2.051458188
50,2071,2.091985994,2.093197715
51,2072,2.130430964,2.131637311
52,2073,2.167890576,2.169091679
53,2074,2.204975859,2.206171846
54,2075,2.241263805,2.242454803
55,2076,2.277860165,2.279046296
56,2077,2.31466997,2.31585135
57,2078,2.353153173,2.354329911
58,2079,2.394472937,2.395645134
59,2080,2.438148323,2.439316071
60,2081,2.482856278,2.484019661
61,2082,2.526962744,2.528121844
62,2083,2.570344687,2.57149958
63,2084,2.611361752,2.612512513
64,2085,2.651560045,2.652706744
65,2086,2.689173268,2.690315973
66,2087,2.726099242,2.727238015
67,2088,2.763961701,2.765096603
68,2089,2.802890609,2.804021695
69,2090,2.844651166,2.845778487
70,2091,2.890049392,2.89117299
71,2092,2.936942747,2.938062663
72,2093,2.985777191,2.986893462
73,2094,3.031000955,3.032113614
74,2095,3.071911751,3.073020828
75,2096,3.110080836,3.111186359
76,2097,3.145667362,3.14676936
77,2098,3.181101592,3.182200093
78,2099,3.216415134,3.217510165
79,2100,3.25375161,3.254843197
